threshold,val_dice,val_iou
0.05,0.2800295054912567,0.16281063854694366
0.1,0.28291094303131104,0.16476194560527802
0.15000000000000002,0.28411781787872314,0.16558119654655457
0.2,0.28474101424217224,0.16600467264652252
0.25,0.2850258946418762,0.16619837284088135
0.3,0.2851504683494568,0.16628308594226837
0.35000000000000003,0.28519919514656067,0.1663162112236023
0.4,0.2852614223957062,0.16635854542255402
0.45,0.2852950394153595,0.16638141870498657
0.5,0.2851965129375458,0.16631440818309784
0.55,0.2850416600704193,0.16620908677577972
0.6000000000000001,0.2848130762577057,0.1660536527633667
0.6500000000000001,0.2846047878265381,0.16591207683086395
0.7000000000000001,0.2841838002204895,0.16562601923942566
0.7500000000000001,0.2833994925022125,0.16509343683719635
0.8,0.28166234493255615,0.16391560435295105
