metric,train,validation,test
binary_accuracy,0.9757172465324402,0.9860668778419495,0.9798222184181213
dice_coefficient,0.3551987409591675,0.14065586030483246,0.1702101081609726
iou_metric,0.2598322629928589,0.10181854665279388,0.11710681021213531
loss,0.7295910120010376,0.9084877371788025,0.931861162185669
